Age,Gender,self_employed,family_history,treatment,work_interfere,Company_work,wellness_program,seek_help,anonymity,mental_health_consequence,friends,Elders,obs_consequence
37,Female,NA,No,Yes,Often,Yes,No,Yes,Yes,No,Some of them,Yes,No
44,M,NA,No,No,Rarely,No,Don't know,Don't know,Don't know,Maybe,No,No,No
32,Male,NA,No,No,Rarely,Yes,No,No,Don't know,No,Yes,Yes,No
31,Male,NA,Yes,Yes,Often,Yes,No,No,No,Yes,Some of them,No,Yes
31,Male,NA,No,No,Never,Yes,Don't know,Don't know,Don't know,No,Some of them,Yes,No
33,Male,NA,Yes,No,Sometimes,Yes,No,Don't know,Don't know,No,Yes,Yes,No
35,Female,NA,Yes,Yes,Sometimes,Yes,No,No,No,Maybe,Some of them,No,No
39,M,NA,No,No,Never,Yes,No,No,Yes,No,No,No,No
42,Female,NA,Yes,Yes,Sometimes,Yes,No,No,No,Maybe,Yes,Yes,No
23,Male,NA,No,No,Never,Yes,Don't know,Don't know,Don't know,No,Yes,Yes,No
31,Male,NA,No,Yes,Sometimes,Yes,No,No,Don't know,No,Some of them,Yes,No
29,male,NA,No,No,Never,Yes,No,No,Don't know,No,Yes,Yes,No
42,female,NA,Yes,Yes,Sometimes,No,No,No,Don't know,Yes,Yes,Yes,Yes
36,Male,NA,Yes,No,Never,Yes,No,Don't know,Don't know,No,Yes,Yes,No
27,Male,NA,No,No,Never,Yes,Don't know,Don't know,Don't know,No,Some of them,Some of them,No
29,female,NA,Yes,Yes,Rarely,Yes,No,No,Don't know,No,Yes,Some of them,No
23,Male,NA,No,Yes,Sometimes,Yes,Don't know,Don't know,Don't know,Maybe,Some of them,No,No
32,Male,NA,No,Yes,Sometimes,Yes,No,Don't know,Don't know,Maybe,Some of them,Yes,No
46,male,Yes,Yes,No,Sometimes,Yes,Yes,Don't know,Yes,No,Yes,Yes,Yes
36,Male,Yes,Yes,No,NA,Yes,Yes,No,Yes,No,Some of them,Some of them,No
29,Male,No,Yes,Yes,Sometimes,Yes,No,No,No,Maybe,Some of them,Some of them,No
31,male,Yes,No,No,Never,Yes,No,No,Yes,No,Some of them,Some of them,No
46,Male,No,No,Yes,Often,Yes,No,No,Don't know,Maybe,Some of them,Yes,No
41,Male,No,No,Yes,Never,No,No,Don't know,Don't know,Maybe,No,No,No
33,male,No,Yes,Yes,Rarely,Yes,Don't know,Yes,Yes,No,Yes,Yes,No
35,male,No,Yes,Yes,Sometimes,No,No,Don't know,No,Yes,Some of them,Yes,No
33,male,No,No,No,NA,Yes,No,Don't know,Don't know,Maybe,Some of them,No,No
35,Female,No,Yes,Yes,Rarely,Yes,Don't know,Don't know,Don't know,No,Yes,Yes,No
34,male,No,No,Yes,Sometimes,Yes,No,Don't know,Don't know,No,Some of them,No,No
37,Male,No,No,No,Sometimes,Yes,No,No,Don't know,Yes,Some of them,No,No
32,Male,No,No,No,Never,Yes,No,No,Don't know,Yes,Some of them,Some of them,No
31,Male,Yes,Yes,No,Rarely,Yes,No,No,Don't know,Yes,No,No,Yes
30,male,No,Yes,Yes,Sometimes,Yes,No,No,Yes,Maybe,Some of them,Yes,No
42,Male,No,Yes,Yes,Sometimes,Yes,Yes,Yes,Yes,Maybe,Some of them,Some of them,No
40,female,No,No,Yes,Sometimes,Yes,No,No,Don't know,Maybe,Some of them,No,No
27,Male,No,No,Yes,Rarely,Yes,No,No,Don't know,No,Yes,Yes,No
29,Male,No,No,No,Rarely,Yes,No,No,Don't know,Yes,Some of them,No,No
38,Male,No,No,No,NA,Yes,No,No,Don't know,Maybe,Some of them,Some of them,No
50,M,No,No,No,NA,Yes,No,Don't know,Don't know,No,Some of them,Yes,No
35,M,No,No,Yes,Rarely,Yes,No,Yes,Yes,No,Yes,Yes,No
24,Male,No,No,Yes,Sometimes,Yes,No,No,Don't know,Maybe,Some of them,No,Yes
35,Male,No,No,No,NA,Yes,Don't know,Yes,Don't know,Yes,Some of them,No,No
27,Male,No,Yes,Yes,Sometimes,Yes,No,No,Yes,Maybe,Some of them,No,No
18,Male,No,No,No,Often,Yes,No,No,Don't know,Yes,No,Some of them,No
30,Male,No,No,Yes,Sometimes,Yes,No,No,Don't know,No,No,No,No
38,Female,No,Yes,Yes,Sometimes,Yes,No,Yes,Yes,No,Some of them,Yes,No
28,Male,No,No,No,NA,Yes,No,No,Don't know,No,Some of them,Yes,No
34,Male,No,No,No,NA,Yes,No,No,Don't know,No,Yes,Yes,No
26,m,Yes,No,No,Sometimes,Yes,Yes,No,Don't know,No,Yes,Yes,No
30,male,No,Yes,Yes,Rarely,Yes,No,Don't know,Don't know,Maybe,Some of them,Yes,No
22,M,No,Yes,Yes,Often,Yes,No,No,Yes,Maybe,No,No,No
33,Male,No,No,No,NA,Yes,Don't know,Don't know,Don't know,No,Some of them,Yes,No
31,M,No,No,No,NA,Yes,Don't know,Don't know,Don't know,Maybe,Some of them,Some of them,No
32,Male,No,No,No,Never,Yes,No,No,Don't know,Maybe,Some of them,Yes,No
28,M,No,No,No,NA,Yes,No,No,Don't know,No,No,No,No
27,Male-ish,No,Yes,Yes,Rarely,Yes,No,No,Yes,Maybe,No,No,No
32,maile,No,Yes,No,NA,Yes,No,No,Don't know,No,Yes,Yes,No
24,Male,No,Yes,Yes,Sometimes,Yes,No,No,Don't know,No,Some of them,Yes,No
26,Male,No,No,No,NA,No,No,No,Yes,No,Some of them,Yes,No
33,male,No,Yes,Yes,Often,Yes,No,No,No,Yes,No,No,No
44,Male,No,Yes,Yes,Sometimes,No,No,Don't know,Don't know,Yes,Some of them,No,Yes
26,Female,No,No,Yes,Sometimes,Yes,Yes,Yes,Yes,No,Yes,Yes,No
27,Male,No,No,No,Never,Yes,No,Yes,Don't know,No,Yes,Yes,No
26,Male,No,No,No,NA,Yes,No,No,Don't know,Yes,No,No,Yes
35,male,No,No,No,Sometimes,Yes,No,No,Don't know,No,Some of them,Yes,No
40,Male,No,Yes,No,Sometimes,Yes,Yes,Yes,Don't know,Yes,Some of them,No,Yes
23,Female,No,Yes,Yes,Often,Yes,No,No,Don't know,No,Some of them,Yes,No
36,M,No,No,No,Sometimes,Yes,Don't know,Yes,Don't know,Maybe,Some of them,Some of them,No
31,Female,No,No,No,NA,No,Don't know,Don't know,Don't know,Maybe,Some of them,No,No
34,Male,Yes,No,No,Rarely,Yes,No,No,Don't know,Maybe,Some of them,No,No
28,m,No,No,No,Never,Yes,No,No,Don't know,Maybe,Some of them,Some of them,No
34,male,No,No,No,Never,Yes,Don't know,Don't know,Don't know,No,Some of them,Yes,No
23,Trans-female,No,No,No,Rarely,Yes,No,No,Yes,Maybe,Yes,Yes,No
38,Male,No,No,No,NA,Yes,No,Don't know,Yes,No,Some of them,Yes,No
33,Male,No,No,No,Never,Yes,Yes,Don't know,Don't know,Maybe,Some of them,Some of them,No
19,Male,No,No,No,NA,Yes,No,No,No,Yes,No,No,No
25,Male,No,No,No,NA,Yes,Yes,Yes,Don't know,No,Yes,Yes,No
31,Male,Yes,Yes,No,Sometimes,Yes,No,No,Yes,No,Yes,Yes,No
32,Male,No,Yes,Yes,Sometimes,Yes,No,No,Don't know,Yes,Some of them,No,No
28,m,No,No,No,Never,Yes,Don't know,Don't know,Don't know,No,Some of them,Some of them,No
38,Male,No,Yes,No,Sometimes,Yes,No,Yes,Don't know,No,Yes,Some of them,No
23,Male,No,No,No,Never,Yes,Yes,Don't know,Don't know,No,Some of them,Yes,No
30,male,No,No,No,Never,No,No,No,Don't know,No,Some of them,Yes,No
27,Cis Female,Yes,No,Yes,Often,Yes,Yes,Yes,Yes,Maybe,Some of them,Yes,No
33,Male,No,Yes,No,Never,Yes,No,No,Don't know,Yes,No,No,No
31,Male,No,No,No,NA,Yes,No,No,Don't know,No,Some of them,Yes,No
39,Male,Yes,No,Yes,Often,Yes,No,No,Don't know,Maybe,Some of them,No,Yes
34,female,No,Yes,Yes,Rarely,Yes,No,Don't know,Don't know,Yes,Some of them,Some of them,No
29,F,No,No,Yes,Sometimes,Yes,No,No,Don't know,Maybe,Some of them,Some of them,Yes
32,M,No,No,No,NA,Yes,No,Don't know,Don't know,No,Some of them,Some of them,No
31,Male,No,No,No,Never,Yes,Yes,Yes,Yes,No,Some of them,Yes,No
40,male,No,No,Yes,Sometimes,Yes,No,No,Yes,No,Yes,Yes,No
34,Male,No,No,No,NA,Yes,No,No,Don't know,Maybe,Some of them,No,No
18,something kinda male?,No,No,No,NA,Yes,No,No,Yes,No,Yes,Yes,No
25,F,No,No,Yes,Sometimes,Yes,No,Don't know,Don't know,Maybe,Some of them,Yes,No
29,male,No,No,No,Never,Yes,No,Don't know,Don't know,No,Yes,Yes,No
24,Male,No,Yes,No,Rarely,Yes,No,Don't know,Don't know,Maybe,Some of them,No,No
31,male,No,Yes,Yes,Sometimes,Yes,No,No,Don't know,No,Some of them,Yes,No
33,Cis Male,No,No,Yes,Sometimes,Yes,No,No,Don't know,Maybe,Some of them,No,No
30,M,No,No,Yes,Often,Yes,No,No,Yes,No,Yes,Yes,No
26,female,No,Yes,Yes,Sometimes,No,No,No,No,Yes,No,No,Yes
44,Female,No,No,No,Never,Yes,Don't know,Don't know,Don't know,Maybe,No,Some of them,No
25,Male,No,Yes,No,NA,Yes,Don't know,Don't know,Don't know,No,Some of them,Yes,No
33,Male,No,Yes,Yes,Sometimes,Yes,Yes,Yes,Yes,No,Some of them,Yes,No
29,Male,No,No,No,Never,Yes,Yes,Don't know,Don't know,No,Some of them,Yes,No
35,Male,No,Yes,No,Rarely,Yes,No,No,Yes,No,Some of them,Yes,No
35,M,No,Yes,Yes,Sometimes,Yes,No,No,Don't know,No,Some of them,Yes,No
28,Male,No,Yes,Yes,Rarely,Yes,No,No,No,Maybe,Yes,Yes,Yes
34,m,No,Yes,No,Never,Yes,No,No,Don't know,Maybe,No,No,No
32,Male,No,No,Yes,Sometimes,Yes,Yes,Yes,Yes,Maybe,Some of them,Yes,No
22,Male,No,No,Yes,Sometimes,Yes,No,Don't know,Yes,Yes,No,No,No
28,Male,No,No,Yes,Sometimes,Yes,Yes,Yes,Yes,No,Some of them,Some of them,No
45,male,No,Yes,Yes,Rarely,Yes,No,Yes,Yes,No,Yes,Yes,No
32,Male,No,No,No,Never,Yes,No,Don't know,Don't know,Maybe,Some of them,Some of them,No
28,male,No,No,No,NA,Yes,No,Don't know,Don't know,Maybe,Some of them,No,No
26,Male,No,No,No,Never,Yes,No,Don't know,Don't know,No,Some of them,Some of them,Yes
21,Male,Yes,No,No,Often,No,No,No,Yes,Yes,Some of them,Yes,No
27,Male,No,No,No,Rarely,No,Yes,Yes,Yes,Maybe,Some of them,Yes,No
18,Male,No,No,Yes,Rarely,Yes,No,No,Yes,No,Some of them,No,No
35,Male,No,No,No,NA,Yes,No,Don't know,Don't know,No,Some of them,Yes,No
29,Male,No,No,No,Never,Yes,No,Yes,Don't know,Yes,No,No,No
25,Male,No,No,No,NA,Yes,No,No,Don't know,No,Some of them,Yes,No
33,Male,No,Yes,Yes,Sometimes,Yes,Don't know,Don't know,Yes,No,Yes,Yes,No
36,Male,No,No,No,Often,Yes,No,No,Yes,Maybe,No,No,No
27,Male,No,No,Yes,Never,No,No,No,Don't know,Maybe,Some of them,Yes,Yes
27,Male,No,Yes,No,Never,Yes,Yes,Yes,Yes,Yes,Some of them,No,No
27,Male,No,No,No,NA,Yes,No,No,Don't know,No,Some of them,Some of them,No
32,M,No,No,Yes,Rarely,Yes,No,Yes,Yes,Yes,No,Yes,No
31,Male,No,Yes,No,Sometimes,Yes,No,No,Don't know,Maybe,No,No,No
19,male,No,No,Yes,Sometimes,Yes,No,No,Don't know,Yes,Some of them,No,No
33,Male,No,Yes,Yes,Sometimes,Yes,No,No,Don't know,Maybe,Yes,Some of them,No
32,male,No,No,No,Rarely,Yes,No,No,Don't know,Maybe,Yes,Some of them,No
27,Male,No,No,No,Never,Yes,Don't know,Don't know,Don't know,No,Yes,Yes,No
38,Male,No,No,No,NA,Yes,No,No,Yes,No,Yes,Yes,No
24,Male,No,No,Yes,Never,Yes,No,No,Don't know,No,Some of them,Yes,No
39,M,No,No,No,Never,No,No,No,Don't know,Yes,No,No,No
28,Male,No,No,No,Never,Yes,No,No,Yes,No,Some of them,Yes,No
39,Male,No,No,Yes,Often,Yes,No,No,Don't know,No,Yes,Yes,No
29,Female,No,No,No,NA,Yes,No,Don't know,Don't know,Maybe,Some of them,No,No
22,m,No,No,No,NA,Yes,Don't know,No,Don't know,No,Some of them,Some of them,No
38,Male,No,Yes,Yes,Sometimes,Yes,Don't know,Don't know,Don't know,Maybe,Some of them,Yes,No
37,Male,Yes,No,Yes,Sometimes,No,Yes,Yes,Yes,Yes,Some of them,No,No
35,M,No,No,No,Never,No,Don't know,Don't know,Don't know,Yes,Some of them,No,No
-29,Male,No,No,No,NA,No,Don't know,Yes,Don't know,No,Some of them,Yes,No
30,Female,No,Yes,No,NA,Yes,No,Don't know,Don't know,Maybe,Some of them,Some of them,No
37,Male,No,Yes,Yes,Rarely,No,Yes,Yes,Don't know,Maybe,Some of them,Yes,No
24,M,No,No,No,Never,Yes,No,No,Yes,Maybe,No,Some of them,No
23,Male,No,No,No,Sometimes,No,No,No,No,Yes,No,No,No
30,male,No,No,Yes,Rarely,Yes,Yes,Yes,Don't know,Yes,Some of them,No,Yes
29,Female,No,No,No,NA,Yes,No,Don't know,Don't know,Maybe,No,Some of them,No
19,Male,Yes,Yes,No,NA,Yes,No,Yes,Yes,Maybe,Some of them,Some of them,No
32,male,No,Yes,No,Never,Yes,No,No,Don't know,No,Some of them,Some of them,No
28,male,No,No,No,Rarely,Yes,No,No,Don't know,No,Yes,Yes,No
36,Male,No,No,No,Never,Yes,Don't know,Don't know,Don't know,No,Some of them,Some of them,No
37,Male,No,Yes,Yes,Rarely,No,Yes,Yes,Yes,Yes,Some of them,No,Yes
25,Male,No,Yes,Yes,Sometimes,No,No,Don't know,Don't know,Maybe,Some of them,Some of them,No
27,Male,No,Yes,Yes,Sometimes,Yes,No,Don't know,Don't know,No,No,Some of them,No
26,male,No,No,No,Often,No,No,No,Don't know,Yes,Some of them,Yes,No
27,male,No,No,Yes,Rarely,Yes,No,No,Don't know,Maybe,Some of them,Yes,Yes
25,Male,No,Yes,Yes,Sometimes,Yes,No,No,Don't know,Maybe,Some of them,No,Yes
36,Male,No,No,Yes,Sometimes,No,Yes,Yes,Yes,Maybe,Some of them,Some of them,Yes
25,F,No,Yes,Yes,Sometimes,Yes,No,No,Don't know,Yes,Some of them,Some of them,No
31,M,No,No,No,Never,Yes,No,Yes,Don't know,No,Some of them,Some of them,No
26,male,No,Yes,No,Rarely,Yes,No,No,Don't know,Maybe,Some of them,Yes,No
33,F,Yes,Yes,Yes,Sometimes,Yes,Yes,Yes,Yes,No,Some of them,Yes,No
27,Woman,Yes,Yes,No,NA,Yes,No,No,Yes,No,Yes,Yes,No
34,Male,No,No,No,Never,Yes,No,No,Don't know,Maybe,Some of them,Some of them,No
42,male,No,No,No,NA,Yes,No,No,Don't know,Maybe,Yes,Yes,No
23,male,Yes,Yes,No,Sometimes,Yes,No,No,Don't know,Yes,No,No,No
24,Male,No,No,No,Rarely,Yes,Yes,Don't know,Don't know,Maybe,Some of them,Some of them,No
26,Male,No,No,Yes,Sometimes,Yes,Don't know,Don't know,Yes,No,Yes,Yes,No
31,Male,Yes,No,Yes,Often,Yes,No,No,Don't know,Maybe,Some of them,Yes,No
22,M,No,No,Yes,Never,Yes,No,No,Don't know,Yes,No,No,No
23,Female,No,No,No,NA,Yes,No,Don't know,Don't know,Maybe,Some of them,Yes,No
34,Female,No,Yes,Yes,Sometimes,No,Yes,No,Don't know,No,Some of them,Yes,No
31,male,No,No,No,Never,Yes,No,Don't know,Don't know,Maybe,No,Some of them,No
28,Male,No,No,No,NA,No,No,Yes,Yes,No,Some of them,Some of them,No
32,Female,No,No,Yes,Often,Yes,Don't know,Don't know,Yes,No,Yes,Yes,Yes
45,F,No,No,Yes,Sometimes,Yes,No,No,Yes,No,Yes,Yes,No
33,Male,No,No,No,NA,Yes,No,No,Don't know,No,Yes,Yes,No
29,male,No,No,No,Never,Yes,No,No,No,Maybe,No,Yes,No
26,f,Yes,No,No,Sometimes,No,No,No,Don't know,Maybe,Some of them,Some of them,No
28,Female,No,No,No,Never,Yes,No,Don't know,Yes,No,Yes,Yes,No
45,M,No,No,Yes,Sometimes,Yes,Don't know,Don't know,Don't know,Yes,Some of them,Some of them,No
43,Male,No,Yes,Yes,Often,Yes,No,Don't know,Don't know,Yes,No,No,No
37,male,No,No,No,NA,Yes,No,No,Don't know,Yes,Some of them,No,No
24,Male,No,No,No,Sometimes,Yes,No,Don't know,Don't know,Maybe,Some of them,Yes,No
26,Male,No,No,No,NA,Yes,No,No,Don't know,No,Some of them,No,No
23,male,No,Yes,No,NA,Yes,No,No,Don't know,No,Some of them,Yes,No
35,Female,No,Yes,Yes,Never,Yes,Don't know,No,Yes,Maybe,No,No,No
38,Female,Yes,Yes,Yes,Often,Yes,No,No,Yes,Maybe,Some of them,Some of them,Yes
28,Male,No,Yes,Yes,Sometimes,Yes,No,No,Don't know,Maybe,Some of them,No,No
28,Male,No,No,No,Sometimes,Yes,No,No,Don't know,Yes,No,No,No
35,Male,No,No,Yes,Rarely,Yes,No,No,Yes,No,Some of them,Yes,No
32,female,No,No,No,Sometimes,Yes,No,No,Don't know,Yes,Some of them,No,Yes
31,Mal,Yes,Yes,No,Never,Yes,No,No,Don't know,Maybe,Some of them,Some of them,No
35,Female,No,No,No,Never,Yes,No,No,Don't know,Maybe,Some of them,No,No
26,Male,No,No,No,Rarely,Yes,No,No,Yes,No,Some of them,Yes,No
27,Male,No,Yes,No,NA,Yes,No,No,Don't know,Maybe,Some of them,Some of them,No
28,Male,No,Yes,Yes,Sometimes,Yes,No,No,Don't know,Maybe,Some of them,No,No
27,Female,No,Yes,Yes,Sometimes,Yes,No,No,Don't know,No,Some of them,Some of them,No
34,female,No,No,Yes,Sometimes,No,Yes,Yes,Yes,Maybe,Some of them,Yes,No
41,male,No,No,Yes,Often,Yes,No,No,Don't know,Maybe,Some of them,Some of them,No
37,Male,No,No,No,Sometimes,Yes,No,No,Don't know,Yes,No,No,No
34,male,No,Yes,No,NA,Yes,Don't know,Don't know,Don't know,No,Yes,Yes,No
32,Male,No,Yes,Yes,Sometimes,Yes,No,No,Don't know,Yes,No,No,Yes
21,Male,No,No,Yes,Sometimes,Yes,No,No,Don't know,No,Some of them,Some of them,No
30,M,No,No,Yes,Often,Yes,No,No,Yes,Maybe,Yes,Yes,No
24,male,No,No,No,Never,Yes,No,Don't know,Don't know,No,Some of them,Yes,No
26,male,No,No,No,NA,Yes,No,No,No,Yes,No,No,No
40,Female,No,No,No,NA,Yes,Yes,Yes,Yes,No,Some of them,Yes,No
37,Male,No,Yes,No,Sometimes,No,No,No,Don't know,Yes,Some of them,Yes,No
26,Male,Yes,No,Yes,Often,Yes,No,No,Don't know,Yes,No,No,No
32,F,No,Yes,Yes,Sometimes,Yes,No,No,No,Yes,Some of them,Some of them,Yes
32,f,No,No,Yes,Sometimes,No,Don't know,Don't know,Yes,No,Yes,Yes,No
27,female,Yes,Yes,Yes,Sometimes,Yes,Don't know,Don't know,Don't know,No,Some of them,No,No
30,Male,Yes,No,Yes,Often,Yes,No,No,Yes,No,Some of them,Yes,No
31,M,Yes,No,No,NA,Yes,No,Don't know,Yes,No,Some of them,Some of them,No
29,F,No,No,Yes,Never,No,No,Don't know,Don't know,Maybe,Some of them,No,No
41,Male (CIS),No,No,No,NA,Yes,No,No,Don't know,Yes,No,Some of them,No
34,female,No,No,No,NA,Yes,No,No,Don't know,No,Yes,Yes,No
33,Male,No,No,No,NA,Yes,No,No,Don't know,No,Yes,Yes,No
28,male,No,No,No,Rarely,Yes,No,No,Don't know,No,Some of them,Some of them,No
28,Male,No,No,Yes,Sometimes,Yes,No,No,Yes,Yes,No,Some of them,No
23,Male,No,No,No,Never,Yes,Don't know,Don't know,Don't know,No,No,Yes,No
24,M,No,No,No,NA,Yes,Don't know,No,Yes,No,Yes,Yes,No
32,male,No,No,No,Rarely,Yes,No,No,Don't know,No,Some of them,Yes,No
34,Male,Yes,No,No,Sometimes,Yes,Yes,Yes,Don't know,Yes,No,No,No
24,Male,No,No,No,Never,Yes,No,Don't know,Don't know,Maybe,Some of them,No,No
26,male,Yes,No,Yes,Sometimes,Yes,No,No,Don't know,Maybe,Some of them,Some of them,No
36,Male,No,No,Yes,Sometimes,Yes,No,Yes,Don't know,Maybe,Some of them,Some of them,Yes
41,Male,No,No,Yes,Rarely,Yes,No,Don't know,Don't know,Maybe,Some of them,No,No
38,Male,No,No,Yes,Sometimes,No,Don't know,Don't know,Don't know,Yes,No,No,No
38,Male,No,No,No,Sometimes,Yes,No,Don't know,Don't know,Maybe,Some of them,Yes,No
30,male,No,No,No,NA,Yes,Don't know,Don't know,Yes,No,Some of them,Some of them,No
25,Male,No,No,No,Never,Yes,No,No,Don't know,Yes,No,No,No
37,Male,No,Yes,Yes,Often,Yes,No,Don't know,Don't know,Maybe,Some of them,Some of them,No
34,Male,No,Yes,No,NA,Yes,No,No,Yes,No,Some of them,Yes,Yes
37,F,No,Yes,Yes,Sometimes,No,Yes,Yes,Yes,No,Some of them,Some of them,No
28,Female,No,Yes,Yes,Sometimes,No,Yes,Yes,Yes,No,Some of them,Yes,Yes
22,Male,No,No,No,NA,Yes,No,No,Don't know,No,Some of them,Yes,No
34,male,No,Yes,Yes,Sometimes,Yes,No,No,Don't know,Maybe,Some of them,Some of them,Yes
33,M,No,Yes,Yes,Sometimes,Yes,Yes,Yes,Yes,No,Some of them,Yes,No
25,Male,No,No,No,NA,Yes,No,No,Yes,Maybe,Some of them,Yes,No
27,Male,No,No,No,Never,Yes,Don't know,Don't know,Yes,No,Some of them,Yes,No
40,M,No,No,Yes,Sometimes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
21,Male,No,No,Yes,Often,No,No,Don't know,Don't know,Maybe,No,No,No
29,Male,No,No,No,NA,No,No,No,Yes,No,Yes,Yes,No
32,M,No,Yes,Yes,Sometimes,Yes,No,No,Don't know,Maybe,Yes,Yes,No
29,f,No,Yes,Yes,Rarely,No,Yes,Don't know,Yes,Maybe,Some of them,No,No
23,Male,No,Yes,Yes,Sometimes,No,No,Don't know,Yes,Maybe,Some of them,Some of them,No
28,Male,No,Yes,No,NA,Yes,No,Don't know,Yes,No,Some of them,Yes,Yes
